"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1959-M12","2.525752","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M01","2.505928","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M02","2.503895","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M03","2.500846","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M04","2.502879","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M05","2.495255","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M06","2.493221","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M07","2.492204","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M08","2.497288","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M09","2.512536","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M10","2.519145","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M11","2.522194","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1960-M12","2.541002","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M01","2.551676","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M02","2.530835","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M03","2.519653","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M04","2.526261","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M05","2.519653","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M06","2.505928","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M07","2.505928","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M08","2.509995","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M09","2.512028","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M10","2.521686","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M11","2.560825","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1961-M12","2.5654","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1962-M01","2.560825","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1962-M02","2.572516","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1962-M03","2.594881","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1962-M04","2.631479","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1962-M05","2.665027","Units"
"Spain","Consumer price index (CPI)","All Items","Index","Monthly","1962-M06","2.678751","Units"
