"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M01","41.40639","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M02","41.7242","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M03","42.13282","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M04","43.04085","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M05","43.22246","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M06","43.31326","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M07","43.22246","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M08","43.35867","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M09","43.31326","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M10","43.40406","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M11","43.54027","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1985-M12","43.58567","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M01","43.67648","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M02","43.85808","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M03","43.90348","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M04","44.3575","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M05","44.4029","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M06","44.4029","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M07","44.2667","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M08","44.4029","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M09","44.62991","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M10","44.72071","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M11","45.08393","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1986-M12","45.22013","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M01","45.40174","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M02","45.58335","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M03","45.67415","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M04","46.21898","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M05","46.26437","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M06","46.26437","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M07","46.21898","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M08","46.35518","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M09","46.49138","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M10","46.71839","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1987-M11","46.9454","Units"
