"COUNTRY","PRODUCTION_INDEX","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Spain","Industrial Production","Index","Monthly","1961-M01","18.68751028500634","Units"
"Spain","Industrial Production","Index","Monthly","1961-M02","18.25346265126798","Units"
"Spain","Industrial Production","Index","Monthly","1961-M03","18.42942790818894","Units"
"Spain","Industrial Production","Index","Monthly","1961-M04","18.61712418223797","Units"
"Spain","Industrial Production","Index","Monthly","1961-M05","19.5907986038673","Units"
"Spain","Industrial Production","Index","Monthly","1961-M06","18.45288994244506","Units"
"Spain","Industrial Production","Index","Monthly","1961-M07","17.6199877263525","Units"
"Spain","Industrial Production","Index","Monthly","1961-M08","17.69037382912088","Units"
"Spain","Industrial Production","Index","Monthly","1961-M09","19.64945368950762","Units"
"Spain","Industrial Production","Index","Monthly","1961-M10","20.2125425116547","Units"
"Spain","Industrial Production","Index","Monthly","1961-M11","21.84315389245563","Units"
"Spain","Industrial Production","Index","Monthly","1961-M12","23.45030323900043","Units"
"Spain","Industrial Production","Index","Monthly","1962-M01","22.08950525214498","Units"
"Spain","Industrial Production","Index","Monthly","1962-M02","21.01025167636308","Units"
"Spain","Industrial Production","Index","Monthly","1962-M03","22.39451169747466","Units"
"Spain","Industrial Production","Index","Monthly","1962-M04","20.58793505975276","Units"
"Spain","Industrial Production","Index","Monthly","1962-M05","21.362182190205","Units"
"Spain","Industrial Production","Index","Monthly","1962-M06","20.83428641944211","Units"
"Spain","Industrial Production","Index","Monthly","1962-M07","19.90753606632503","Units"
"Spain","Industrial Production","Index","Monthly","1962-M08","18.98078571320796","Units"
"Spain","Industrial Production","Index","Monthly","1962-M09","20.20081149452664","Units"
"Spain","Industrial Production","Index","Monthly","1962-M10","21.77276778968725","Units"
"Spain","Industrial Production","Index","Monthly","1962-M11","23.37991713623205","Units"
"Spain","Industrial Production","Index","Monthly","1962-M12","24.21281935232461","Units"
"Spain","Industrial Production","Index","Monthly","1963-M01","24.22455036945268","Units"
"Spain","Industrial Production","Index","Monthly","1963-M02","22.87548339972529","Units"
"Spain","Industrial Production","Index","Monthly","1963-M03","23.34472408484786","Units"
"Spain","Industrial Production","Index","Monthly","1963-M04","22.81682831408498","Units"
"Spain","Industrial Production","Index","Monthly","1963-M05","23.66146154730561","Units"
"Spain","Industrial Production","Index","Monthly","1963-M06","22.54701492013951","Units"
"Spain","Industrial Production","Index","Monthly","1963-M07","21.62026456702242","Units"
"Spain","Industrial Production","Index","Monthly","1963-M08","20.90467252221049","Units"
"Spain","Industrial Production","Index","Monthly","1963-M09","22.32412559470627","Units"
"Spain","Industrial Production","Index","Monthly","1963-M10","24.30666748934912","Units"
"Spain","Industrial Production","Index","Monthly","1963-M11","24.63513596893492","Units"
"Spain","Industrial Production","Index","Monthly","1963-M12","25.76131361322908","Units"
"Spain","Industrial Production","Index","Monthly","1964-M01","26.85229820613906","Units"
"Spain","Industrial Production","Index","Monthly","1964-M02","26.66460193209003","Units"
"Spain","Industrial Production","Index","Monthly","1964-M03","24.94014241426459","Units"
"Spain","Industrial Production","Index","Monthly","1964-M04","26.16016819558328","Units"
"Spain","Industrial Production","Index","Monthly","1964-M05","26.06632005855876","Units"
"Spain","Industrial Production","Index","Monthly","1964-M06","26.00766497291844","Units"
"Spain","Industrial Production","Index","Monthly","1964-M07","25.47976920215554","Units"
"Spain","Industrial Production","Index","Monthly","1964-M08","22.68778712567626","Units"
"Spain","Industrial Production","Index","Monthly","1964-M09","25.78477564748522","Units"
"Spain","Industrial Production","Index","Monthly","1964-M10","26.91095329177938","Units"
"Spain","Industrial Production","Index","Monthly","1964-M11","28.22482721012257","Units"
"Spain","Industrial Production","Index","Monthly","1964-M12","29.2336946831361","Units"
"Spain","Industrial Production","Index","Monthly","1965-M01","28.04886195320161","Units"
"Spain","Industrial Production","Index","Monthly","1965-M02","29.48004604282545","Units"
"Spain","Industrial Production","Index","Monthly","1965-M03","31.040271320858","Units"
"Spain","Industrial Production","Index","Monthly","1965-M04","30.20736910476543","Units"
"Spain","Industrial Production","Index","Monthly","1965-M05","31.15758149213863","Units"
"Spain","Industrial Production","Index","Monthly","1965-M06","30.07832791635673","Units"
"Spain","Industrial Production","Index","Monthly","1965-M07","30.80565097829671","Units"
"Spain","Industrial Production","Index","Monthly","1965-M08","25.83169971599747","Units"
"Spain","Industrial Production","Index","Monthly","1965-M09","30.74699589265639","Units"
"Spain","Industrial Production","Index","Monthly","1965-M10","31.63855319438927","Units"
"Spain","Industrial Production","Index","Monthly","1965-M11","32.65915168453086","Units"
"Spain","Industrial Production","Index","Monthly","1965-M12","33.01108219837279","Units"
"Spain","Industrial Production","Index","Monthly","1966-M01","32.89377202709213","Units"
"Spain","Industrial Production","Index","Monthly","1966-M02","33.55070898626373","Units"
"Spain","Industrial Production","Index","Monthly","1966-M03","36.48346326827979","Units"
