"COUNTRY","PRODUCTION_INDEX","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Industrial Production","Index","Monthly","1985-M01","68.25295285973971","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M02","74.92987216123599","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M03","78.63927177317836","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M04","69.458507733621","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M05","69.08756777242673","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M06","73.16790734556334","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M07","65.19269817988726","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M08","63.52346835451317","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M09","73.7243172873547","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M10","74.37346221944462","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M11","77.99012684108843","Units"
"United Kingdom","Industrial Production","Index","Monthly","1985-M12","67.69654291794834","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M01","72.33329243287631","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M02","72.79696738436911","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M03","77.6191868798942","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M04","73.07517235526481","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M05","69.82944769481524","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M06","70.10765266571092","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M07","68.62389282093394","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M08","63.52346835451316","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M09","74.92987216123596","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M10","80.40123658885096","Units"
"United Kingdom","Industrial Production","Index","Monthly","1986-M11","77.3409819089985","Units"
