"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M01","14686.40413637245","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M02","14298.07090089226","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M03","13788.95123162069","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M04","14278.85862961017","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M05","14260.15668751862","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M06","14661.4362496506","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M07","15073.07996016515","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M08","15053.33661890167","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M09","15249.93945525622","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M10","17501.90353001694","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M11","17400.11045520136","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1985-M12","17168.92574692443","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M01","17366.29629876552","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M02","18099.98602586774","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M03","18866.94962038859","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M04","19556.6486470595","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M05","19312.76860467775","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M06","19749.8403221818","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M07","19980.53043272062","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M08","19933.66516208453","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M09","23486.16817939136","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M10","22909.17277182491","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M11","23242.09769558481","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1986-M12","23319.77238755764","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M01","23898.09494232477","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M02","24167.80106697682","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M03","27300.61625290872","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M04","30234.7497191525","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M05","34896.77066580895","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M06","34508.20806175396","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M07","34875.47847629668","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M08","34665.58138933429","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M09","34943.16507351529","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M10","42349.22042407027","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M11","43222.67474000907","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1987-M12","47507.18795840486","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M01","45128.41298644513","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M02","44833.5495066349","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M03","47864.12645145179","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M04","48009.10229081598","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M05","48135.18526252576","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M06","46891.73787680209","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M07","47667.72478348804","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M08","48299.30501487845","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M09","48188.23340559512","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M10","48891.38347757035","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M11","50434.1086531761","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1988-M12","50569.20661813191","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1989-M01","49490.84289871792","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1989-M02","49914.12104873666","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1989-M03","46872.45085771165","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1989-M04","47374.70593798992","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1989-M05","45042.10782241016","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1989-M06","42832.41798783527","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1989-M07","43803.02523496845","Millions"
